Quantity;Designator;Value;Description;MF;MPN
1;C1;100nF;SMD 0805 100nF 10% X7R 100V;KEMET;C0805C104K1RACTU
1;IC1;XIAO ESP32C3;Seeed Studio XIAO ESP32C3;Seeed Studio;113991054
4;IC2, IC3, IC4, IC6;H11F1SM;SMD H11F1SM SMD6 OPTOCOUPLER 100R;VISHAY;H11F1SM
1;IC5;SP3485;SMD SP3485CN-L SO8 RS485 INTERFACE 3V3;EXAR;SP3485CN-L
1;LD1;LED;TH LED H201CGRD PCB 3MM G-R;BIVAR;H201CGRD
2;P1, P2;RJ45 8P JACK;TH CON RJ45 NONSHIELDED 8P TAP UP;AMPHENOL;RJHSE-5080
6;R1, R2, R3, R4, R5, R11;220R;SMD 0805 220R 1% 0.125W 150V 100PPM;YAGEO;RC0805FR-07220RL
3;R6, R10, R12;4.7K;SMD 0805 4.7K 1% 0.125W 150V 100PPM;YAGEO;RC0805FR-074K7L
2;R7, R9;10R;SMD 0805 10R 1% 0.125W 150V 100PPM;YAGEO;RC0805FR-0710RL
1;R8;120R;SMD 1206 120R 1% 0.25W;YAGEO;RC1206FR-07120RL
1;S1;434331045822;SMD SWITCH TACTILE SPST-NO 0.05A 12V;WÅrth Elektronik;434331045822

